11512,-12352,-11956,-13332,-10920,-2880,10080,20240,19268,6708,12744,32767,32767,-2616,-11184,-3912,-6544,-14820,-16748,-13688,-11860,-9284,-9864,-10984,-9988,2364,18036,32767,27340,24844,32767,32767
32767,-5980,-9880,-5808,-6300,-14444,-13892,-11700,-9080,-8996,-7072,-5456,-6264,6688,22252,23124,24484,14828,26856,32767,32767,4428,-11104,-9780,-4420,-6204,-8520,-7128,-10568,-5816,-5356,-4348
-5236,-5172,-1668,7392,16520,24732,21908,17472,30104,32767,28456,-11108,-408,-9640,-7732,-7064,-10972,-15024,-10556,-11852,-8124,-8576,-6544,-6076,5548,16008,19004,14608,8072,13524,32767,32767
-3740,-10324,-5888,-3808,-9764,-11368,-9608,-10000,-7064,-4556,-5232,-6016,-2640,9904,23204,25100,15420,-11296,-5816,-3864,-7452,-9592,-10404,-6304,-4724,-4052,868,8528,14948,7424,4432,744
2112,14612,32767,9776,-13756,-11180,-11140,-12936,-17328,-15316,-12468,-11948,-11312,-11128,-9716,-8572,-9820,-6156,7728,-124,12912,32767,32767,-7780,-12524,-10104,-6868,-14864,-16976,-17012,-10428,-9848
-10276,-9068,-7444,-7256,-3060,4116,11680,10060,4384,2284,4568,32767,32767,-6440,-13704,-10200,-8220,-14332,-14992,-13644,-12060,-9760,-10424,-11000,-8340,-7388,-8436,-5104,4464,7632,9772,8336
4428,4264,32767,32767,416,-10236,-6176,-4844,-13924,-14900,-12592,-8832,-8308,-9256,-7504,-8156,-736,9460,14844,17980,11996,6452,24644,32767,32767,-6200,-8136,-6184,-15620,-14552,-10444,-8784
-9328,-8108,-9068,-3224,4764,14252,12804,4528,3576,11784,32767,32767,-8788,-9948,-9956,-14756,-15764,-12348,-11124,-10636,-10328,32767,-4540,-12416,-8724,-7896,-12684,-13404,-12984,-10796,-8976,-11200
-8856,-9088,-7752,4832,17124,24240,15776,13044,27196,32767,28736,-10176,-11492,-8636,-11712,-13412,-14692,-11644,-10564,-9440,-10252,-9724,-7244,3120,12656,13112,9668,32767,-3656,-12760,-8940,-10012
-13724,-14552,-13840,-10292,-7420,-7768,-6940,-7700,-3336,5428,20012,15928,9124,13936,32767,32767,-6224,-9836,-8660,-11228,-11992,-11344,-12636,-11600,-10496,-10392,-7472,1324,32436,30952,14896,11268
32767,32767,3412,-8516,-8856,-9068,-13436,-12956,-10908,-13784,-8760,-11700,-8724,-6316,1556,18328,27356,16932,11612,32767,32767,5448,-9892,-9192,-8248,-13700,-12344,-11928,-13132,-9804,-9356,-8536
-11928,-13132,-9804,-9356,-8536,-8268,-4332,7396,5708,-9748,-11180,-16808,-13216,-9720,-11132,-14316,-8540,-6900,-8188,-8272,-9028,-8076,-10336,-7396,-5348,-8840,-10260,-8148,-7820,-7532,-7716,-7844
