-13696,-12784,-11484,-15156,-32768,-32768,-12288,2700,-10524,-8292,-8248,-12172,-14336,-8700,-7000,-18716,-32768,-32768,2316,1644,-7820,-32768,-24336,-7548,-14016,-13984,-14764,-16400,-10680,-7148,-6200,-11336
-8872,-2440,-18444,-31652,-32768,-5136,4128,-64,-32768,-27048,-9988,-12792,-14416,-12280,-7352,-8240,-6304,-16756,-5640,-9004,-10040,876,-32768,-32768,-10288,9880,-4388,-27208,-32768,-11980,-12636,-9360
-8700,-10488,-10460,-6784,-29208,-12212,-12312,-8576,-9752,-8924,-10068,-9868,-14184,-14328,-10496,-9924,-11176,-14724,-28176,-32768,-25636,4916,-7136,-17080,-15924,-11696,-10900,-9684,-19480,-32768,-31668,3168
4084,-19824,-32768,-14044,-6864,-16624,-12224,-14584,-9180,-7248,-10716,-13716,-12560,-11076,-7876,-16272,-32768,-32768,-15264,7740,420,-25948,-15716,-21612,-16968,-11596,-7636,-7252,-7420,-8200,-9604,-12032
-10092,-7076,-10876,-7044,8900,984,-32768,-16312,-10996,-16148,-9252,-4200,-27672,-32768,-10556,5944,260,-32768,-3028,-16392,-15484,-8468,-7256,-8660,-4952,-9112,-11920,-8636,-3192,-15136,-16132,-28704
-32768,-6488,4792,-10076,-32768,-18924,-21856,-11368,-8348,-7280,-10532,-7108,-10848,-8104,-8320,-6080,-5736,-32768,-32768,-196,8928,6592,-32768,-24300,-16944,-12880,-8432,-4448,-6744,-7136,-8056,-15008
-11868,-7208,-12540,-9660,1864,-14844,-32768,-15840,-5604,-10172,-10464,-8328,-5612,-6240,-14192,-10832,-9172,-3144,-20668,-32728,-32768,420,-1252,-6288,-32768,-14792,-9880,-16776,-5636,-5356,-7440,-4984
-14444,-12240,-7472,-4832,-20252,-25892,-32768,-21740,76,5880,-5180,-32768,-17708,-13728,-14096,-8680,-2648,-3836,-7312,-13516,-7880,-4224,-11596,-28060,-32768,-8132,4688,-11824,-15388,-13548,-11164,-10448
-10256,-15908,6412,-5156,-29356,-25420,-14544,-14584,-12252,-5660,-8804,-10128,-12076,-11248,-13140,-11616,-4752,-20252,-25472,-30760,-24196,4852,8000,5856,-32768,-21556,-14368,-18616,-9900,-6428,-4008,-9024
-10068,-13064,-12628,-10784,-8096,-20532,-19476,-32768,-19492,2864,2584,-15092,-25840,-17068,-14204,-13268,-8188,-8848,-12232,-12692,-13284,10128,-1664,-22840,-32768,-17820,-12436,-13848,-13088,-7460,-8576,-8568
-10784,-8096,-20532,-19476,-32768,-19492,2864,2584,-15092,-25840,-17068,-14204,-13268,-8188,-8848,-12232,-12692,-13284,10128,-1664,-22840,-32768,-17820,-12436,-13848,-13088,-7460,-8576,-8568,-6724,-22628,-13720
