-7500,-14808,1504,-592,-14088,9428,6560,-14496,3924
-7448,-15016,1680,-768,-14016,9304,6708,-14972,3940
-7520,-14200,1816,-644,-13784,9360,6472,-14384,4176
-7964,-13668,964,-1704,-13244,9336,5156,-13884,4972
-10644,-11464,-3392,-7220,-13220,8052,860,-19284,2848
-6888,-23792,-14020,-7488,-24696,3432,-772,-21488,4524
-364,-27380,11008,6820,-20744,13804,8524,-17392,3816
-1052,-4248,14820,8352,-2544,13360,8900,-6516,8244
1800,3808,10340,5768,4724,5456,7992,-4680,9916
21036,10816,26952,27048,15392,8208,11212,-17184,14728
32767,-32768,32767,32767,-32768,11360,22516,26480,12352
2372,-14948,25136,12208,-2836,16520,11364,-3712,12032
-6732,-1500,15748,7036,3668,14552,7512,-4480,13420
-6872,672,15584,7308,1228,14352,7780,-4508,12636
-10328,-2352,10792,-24,-1292,15412,1296,-7716,11352
-8796,-7924,5196,-892,-6260,12888,3184,-10052,10344
-6612,-17984,4560,1052,-15556,12920,5096,-14624,9920
-11328,-19344,3960,556,-18416,12640,7376,-17136,7848
-9256,-14376,-348,-2632,-15172,7772,5044,-15272,460
-7348,-16948,-3428,-3628,-16920,6532,4136,-16572,832
-6796,-11968,-5736,-5604,-13544,3052,1008,-16176,380
-7636,-11004,-10068,-8232,-15396,2088,-536,-20188,-240
-6772,-26200,-11932,-7404,-27276,2804,-2860,-22856,-2176
11716,-28744,5292,15152,-23264,2824,11244,-16568,2876
7632,10116,11452,10644,7132,4396,10536,-2764,6868
-2896,-664,13592,3592,2084,13172,6000,-9348,13904
3156,14596,32767,23044,19840,22000,9924,-14484,15988
-8520,-16480,-2624,-4612,-16180,6140,3216,-16712,800
-6828,-14176,-5448,-5100,-15796,3800,2020,-17196,988
-6156,-12744,-6224,-5828,-15040,2436,920,-16396,-1616
-6056,-21640,-9076,-6040,-22612,2612,692,-20176,-1860
-8612,-22248,-2456,-2936,-21968,8808,5088,-22624,-676
-3880,-15964,7296,2012,-13728,10968,5272,-15712,3512
-784,-6488,11076,4612,-3232,9844,5936,-7508,6608
-3500,824,10280,2936,100,10516,6076,-7744,9620
3928,1768,24520,18456,5980,18136,8136,-15952,15848
11820,-6760,32767,32767,-7576,20204,13292,-17984,17440
-204,796,20656,6668,-4108,13628,9756,-300,10732
-4208,628,14024,5240,2656,11424,5980,-3488,13412
-3456,2380,13924,8224,2968,11944,6528,-4572,13352
-2312,-2004,10784,7320,-1496,11912,6064,-4504,11736
1740,-13244,17344,9004,-6000,12744,6628,-8772,9368
-4312,-17076,14776,8704,-13948,15152,7512,-15516,9024
-11260,-14540,4852,1040,-13420,13652,6648,-18904,9708
-8444,-13440,3872,-1372,-11964,10488,5204,-13240,2272
-7244,-11792,-1588,-4152,-12280,6912,3460,-15808,2400
-7264,-12804,-1620,-3208,-14008,6932,4764,-15380,-556
-9744,-15120,-1076,-4828,-14708,8640,3848,-16268,-244
-10768,-14800,-680,-4892,-15548,9384,4560,-17524,956
-8520,-13824,-2376,-4636,-14420,6564,3632,-15824,-464
-13808,-24544,-12536,-14176,-25992,5908,-2276,-25176,-496
-3696,-16556,-1392,-3168,-15640,5684,1400,-20340,-780
-1404,-9068,5284,1732,-6940,8072,1992,-9540,4448
104,-7160,7876,4232,-4216,8692,5880,-6364,7804
7004,2956,23316,17788,7812,11708,12984,-13764,16208
-9420,-14172,-2048,-4940,-15520,6988,3148,-16912,1400
-8264,-10672,-6812,-7764,-14376,2672,260,-18276,-348
-10132,-24024,-12876,-9260,-23960,2348,-1620,-21768,428
-2772,-22892,3428,3396,-18300,9844,4200,-15972,3044
-388,-8976,12568,7980,-6120,10320,7540,-10096,3528
304,-600,9916,5304,-276,7320,8908,-8020,4860
1044,-8096,27516,16992,1472,17616,17276,-14200,15832
10816,-8500,32767,32767,-2752,16800,16304,-17456,17992
18380,-32768,32767,32212,-32768,21928,24624,30736,16208
592,-11572,11476,7432,-7264,6260,5580,-8692,6604
-1256,-1304,12088,6768,2604,10384,5540,-48,13168
1116,-7680,17780,14580,-3852,10724,10044,-3056,12284
-12024,-15148,7836,2072,-12208,16684,-220,-14048,8920
-7920,-17016,8900,2864,-14368,12800,4996,-13796,9344
-10380,-11712,5580,-956,-13896,12288,4620,-16124,8916
-11248,-11716,4404,-2192,-12232,11840,4992,-13244,6152
-10616,-11648,-3660,-8228,-13772,6528,2400,-16952,1820
-11768,-11968,-8244,-10776,-14744,4628,-1276,-18156,3116
-12304,-11912,-6272,-10456,-14156,4352,-924,-17332,1964
-10108,-9996,-7252,-9772,-13096,2696,-1056,-16916,948
-10648,-11532,-10328,-11796,-14884,2376,-1652,-19376,3660
-12908,-15192,-2528,-9120,-16084,11556,-1476,-22068,6376
-6636,-10012,7796,-2616,-8464,10880,764,-9188,6824
-1640,-1616,10756,2516,740,11108,1884,-4784,10048
-1196,2716,12112,2432,2584,10092,3288,-3424,11020
-2052,7700,30136,19532,14540,22212,12712,-7992,21828
11880,-10928,32767,32767,-2884,15388,8108,-23712,21088
9884,31172,18128,5216,10820,19372,7032,5600,12676
-3720,-280,13104,4736,4820,11568,2312,1768,14344
-3648,-64,13700,7200,4212,12424,3052,1152,15056
-3288,-788,16972,10184,564,13476,6844,1536,14740
-9748,-6204,11360,2800,-4024,15640,1940,-12016,10084
-12376,-7512,7168,-1544,-9284,15124,3680,-15324,9664
-14208,-15144,2936,-3468,-12676,15168,2296,-15572,9588
-13588,-10836,3948,-4884,-10860,13704,3892,-16572,7860
-11536,-12548,2396,-4764,-11532,10976,3380,-14948,5080
-12060,-11864,-3232,-7516,-13544,8452,2988,-16836,2960
-11520,-12040,-3912,-8796,-13644,6844,1096,-17388,424
-11816,-13288,-4652,-8556,-14028,7420,916,-17476,2752
-10420,-11136,-4296,-7648,-12640,6528,1296,-15772,1632
-10084,-10768,-2716,-7192,-11524,7180,1272,-15652,1100
-15420,-15604,-9204,-13068,-18732,7460,-1668,-21304,1784
-11620,-16584,-5136,-9080,-15832,7816,-284,-19096,2268
-6192,-13600,4288,-2164,-10288,9968,1300,-12228,5884
-5888,-8940,9948,1188,-5812,12824,4256,-10292,7756
-4484,2208,12192,2084,4336,12352,5568,-8424,11276
4544,480,29288,20972,10480,17664,8608,-10372,16324
10548,-15728,32767,32767,-9192,17888,10332,-10028,13956
-2168,-13780,19504,11816,-3260,14964,8212,-824,14212
-660,508,14060,8760,2640,11184,7276,-3364,13492
-3960,444,16320,9324,2340,13476,6836,-1288,14236
-1460,-5792,15016,11392,-2800,11984,9220,-6700,9840
-11880,-8940,8312,-344,-7356,17452,1260,-14624,10964
-11816,-14604,5412,-336,-12572,14576,4456,-16084,8812
-11600,-9604,4248,-3064,-10300,12332,4676,-14944,8424
-10432,-10620,1788,-3768,-11916,10412,4884,-15292,3612
-11296,-13236,-1048,-6596,-13628,9284,3104,-17768,108
-11684,-11336,-3752,-9008,-13356,7332,544,-18400,-460
-11400,-12972,-2592,-7904,-13844,7768,1832,-16772,72
-10072,-10724,-3352,-7684,-11800,6368,588,-15772,440
3296,8772,29172,22960,10600,19176,14332,-12160,16620
9136,-24404,32767,32767,-15304,15664,13680,-11172,17284
-2836,-2008,12764,6628,-3376,12556,6132,-792,13592
-4428,-2800,14500,7372,3156,11596,4144,-1348,14572
-3368,68,17736,11272,1596,13732,8440,-3272,13792
-5776,-4316,16528,9224,-1456,14688,6952,-10132,9212
-12320,-6880,8372,-1284,-6464,15696,-600,-12712,8644
-12648,-10472,5580,-3360,-9264,14324,2600,-16248,9464
-12852,-10216,2116,-5792,-9696,12744,2160,-15648,9744
-14464,-9896,3260,-5464,-9620,14644,3464,-15600,5144
