,11512,-11900,1036
,-12352,-11328,860
,-11956,-13328,796
,-13332,-11008,5052
,-10920,-7016,13660
,-2880,-10596,13288
,10080,-20256,7840
,20240,-17052,7300
,19268,-24184,12036
,6708,-22076,8124
,12744,-32768,9952
,32767,-32768,30516
,32767,664,26104
,-2616,25624,8960
,-11184,3768,12900
,-3912,6348,9936
,-6544,-12028,4836
,-14820,-10688,2504
,-16748,-14348,2196
,-13688,-10496,-1732
,-11860,-10260,-1288
,-9284,-10984,304
,-9864,-21860,2472
,-10984,-15280,6260
,-9988,-13360,13808
,2364,-12732,18400
,18036,-6760,5380
,32767,-11460,8508
,27340,-13580,4548
,24844,-23460,7332
,32767,-32768,-264
,32767,-27816,-3856
,32767,20888,4748
,-5980,13676,10568
,-9880,4264,10356
,-5808,5948,6184
,-6300,-13200,6232
,-14444,-12952,5148
,-13892,-16188,2328
,-11700,-15288,1300
,-9080,-11020,-1924
,-8996,-17872,-888
,-7072,-18032,3396
,-5456,-15928,5148
,-6264,-14532,12736
,6688,-11896,18532
,22252,-9704,5004
,23124,-9916,1844
,24484,-13236,5372
,14828,-17848,9616
,26856,-20932,10984
,32767,-32768,13988
,32767,-32,-924
,4428,26696,13964
,-11104,756,10640
,-9780,5260,11252
,-4420,3932,3132
,-6204,-17736,6152
,-8520,-21768,1772
,-7128,-17940,1700
,-10568,-18208,1816
,-5816,-16788,672
,-5356,-12924,1508
,-4348,-18688,3988
,-5236,-15308,4368
,-5172,-14912,6740
,-1668,-13568,16336
,7392,-11536,12492
,16520,-13460,3252
,24732,-5980,7516
,21908,-13260,4888
,17472,-21304,5776
,30104,-32768,64
,32767,-32768,10944
,28456,29732,9256
,-11108,3540,11788
,-408,16968,12168
,-9640,2896,12564
,-7732,3680,13040
,-7064,-4792,5488
,-10972,-13436,8388
,-15024,-13760,3896
,-10556,-16576,1144
,-11852,-13292,40
,-8124,-15640,2504
,-8576,-15872,3072
,-6544,-15128,5064
,-6076,-12536,15912
,5548,-17680,19264
,16008,-14760,6800
,19004,-16596,7960
,14608,-21796,4436
,8072,-24108,6768
,13524,-30292,10740
,32767,-32768,17932
,32767,26232,7416
,-3740,22880,7076
,-10324,1212,13276
,-5888,4472,11040
,-3808,-332,5608
,-9764,-11408,-840
,-11368,-18680,2216
,-9608,-18980,-1376
,-10000,-13932,1668
,-7064,-15212,-980
,-4556,-18304,1592
,-5232,-17004,2448
,-6016,-16824,6708
,-2640,-14340,15040
,9904,-9340,12044
,23204,-17348,5052
,25100,-20208,5828
,15420,-23076,7524
,-11296,2268,8844
,-5816,1268,4964
,-3864,-8752,12760
,-7452,-19472,6668
,-9592,-19852,2012
,-10404,-17748,4196
,-6304,-19240,-1544
,-4724,-17280,4684
,-4052,-16736,9900
,868,-13832,13684
,8528,-14304,11408
,14948,-16948,5160
,7424,-20164,3776
,4432,-17196,6820
,744,-20688,10684
,2112,-32768,6384
,14612,-32768,18912
,32767,-21308,29240
,9776,28412,13900
,-13756,-2596,11800
,-11180,2460,11700
,-11140,-1372,8016
,-12936,-7124,4204
,-17328,-9660,-416
,-15316,-7660,196
,-12468,-11004,-524
,-11948,-10864,-3788
,-11312,-16592,-1932
,-11128,-15340,-36
,-9716,-15124,84
,-8572,-13780,2240
,-9820,-13760,5580
,-6156,-11096,8508
,7728,-22532,4492
,-124,-24560,3536
,12912,-32768,3388
,32767,-32768,32767
,32767,32767,17264
,-7780,6960,10544
,-12524,580,13312
,-10104,1420,8376
,-6868,-6812,5904
,-14864,-12464,-952
,-16976,-12540,-656
,-17012,-14948,2968
,-10428,-11876,380
,-9848,-11960,-1380
,-10276,-15928,-176
,-9068,-16424,1164
,-7444,-15692,2044
,-7256,-15048,5696
,-3060,-13096,9644
,4116,-14816,11436
,11680,-15800,9564
,10060,-19728,6272
,4384,-19388,6888
,2284,-24924,6464
,4568,-32768,6672
,32767,-32768,31268
,32767,22048,20588
,-6440,13760,11196
,-13704,192,11096
,-10200,1812,10912
,-8220,-724,4216
,-14332,-6984,312
,-14992,-10672,-108
,-13644,-9788,-1532
,-12060,-11640,-1636
,-9760,-14864,-2996
,-10424,-13936,-2772
,-11000,-16424,680
,-8340,-15280,1772
,-7388,-14328,2688
,-8436,-13792,8028
,-5104,-11552,12768
,4464,-15240,10224
,7632,-16928,6204
,9772,-16584,7508
,8336,-23504,8924
,4428,-27412,9048
,4264,-32768,5984
,32767,-32768,30836
,32767,8208,9876
,416,17252,12072
,-10236,2632,9180
,-6176,7904,9144
,-4844,-3996,8244
,-13924,-12208,6964
,-14900,-14040,4944
,-12592,-16108,-1108
,-8832,-12104,1120
,-8308,-12636,1012
,-9256,-17156,2988
,-7504,-15820,4020
,-8156,-15724,7536
,-736,-9988,18212
,9460,-13536,11652
,14844,-15284,6688
,17980,-16132,3064
,11996,-19912,5876
,6452,-25152,7552
,24644,-32768,6004
,32767,-32768,19648
,32767,32767,7068
,-6200,12008,11848
